pert_id,pert_iname,cell_lines_tested,positive_cell_lines,negative_cell_lines,median_score,mean_score,min_score,max_score,sd_score,positive_fraction,negative_fraction,reproducibility_score,tier,robust_rank,canonical_smiles,inchi_key,inchi_key_prefix,pubchem_cid,chembl_id,pref_name,max_phase,match_status,target_chembl_id,mechanism_of_action,action_type,disease_signature_genes,core_signature_genes,disease_up_genes,disease_down_genes
BRD-K07667918,linsitinib,5,3,2,0.197197354979618,0.15823400096692825,-0.1252240473035385,0.4977245923714533,0.24531944944845951,0.6,0.4,0.1183184129877708,Tier 3 — Moderate 3/5+,29,NA,NA,NA,NA,CHEMBL1091644,LINSITINIB,3,exact_name_match,CHEMBL1957,Insulin-like growth factor I receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K07667918,linsitinib,5,3,2,0.197197354979618,0.15823400096692825,-0.1252240473035385,0.4977245923714533,0.24531944944845951,0.6,0.4,0.1183184129877708,Tier 3 — Moderate 3/5+,29,NA,NA,NA,NA,CHEMBL1091644,LINSITINIB,3,exact_name_match,CHEMBL1981,Insulin receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K99749624,linifanib,5,4,1,0.13390454862473586,0.1568300471631121,-0.0782509484906955,0.4881620978637856,0.1980451480311839,0.8,0.2,0.1071236388997887,Tier 2 — Strong 4/5+,30,NA,NA,NA,NA,CHEMBL223360,LINIFANIB,3,exact_name_match,CHEMBL1844,Macrophage colony stimulating factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K99749624,linifanib,5,4,1,0.13390454862473586,0.1568300471631121,-0.0782509484906955,0.4881620978637856,0.1980451480311839,0.8,0.2,0.1071236388997887,Tier 2 — Strong 4/5+,30,NA,NA,NA,NA,CHEMBL223360,LINIFANIB,3,exact_name_match,CHEMBL1974,Tyrosine-protein kinase receptor FLT3 inhibitor,INHIBITOR,454,10,214,240
BRD-K99749624,linifanib,5,4,1,0.13390454862473586,0.1568300471631121,-0.0782509484906955,0.4881620978637856,0.1980451480311839,0.8,0.2,0.1071236388997887,Tier 2 — Strong 4/5+,30,NA,NA,NA,NA,CHEMBL223360,LINIFANIB,3,exact_name_match,CHEMBL2095189,Platelet-derived growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K99749624,linifanib,5,4,1,0.13390454862473586,0.1568300471631121,-0.0782509484906955,0.4881620978637856,0.1980451480311839,0.8,0.2,0.1071236388997887,Tier 2 — Strong 4/5+,30,NA,NA,NA,NA,CHEMBL223360,LINIFANIB,3,exact_name_match,CHEMBL2095227,Vascular endothelial growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K81528515,nilotinib,5,4,1,0.13239231519449188,0.07379191306399933,-0.34442146498077236,0.36530301994428904,0.21395982773192923,0.8,0.2,0.10591385215559351,Tier 2 — Strong 4/5+,31,NA,NA,NA,NA,CHEMBL255863,NILOTINIB,4,exact_name_match,NA,NA,NA,454,10,214,240
BRD-K66847579,WZ-7043,5,4,1,0.12943157325617413,0.11854551438926748,-0.2046814967603897,0.4065102696827575,0.22845685483252948,0.8,0.2,0.10354525860493932,Tier 2 — Strong 4/5+,32,NA,NA,NA,NA,CHEMBL237830,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K93747373,HG-5-113-01,5,3,2,0.17116155940126684,0.02758270199611786,-0.2633025837456575,0.3014320500994697,0.266574707099304,0.6,0.4,0.1026969356407601,Tier 3 — Moderate 3/5+,33,NA,NA,NA,NA,CHEMBL2170016,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K19477839,SGX523,5,4,1,0.1276573741017118,0.13429994780697188,-0.00399906952813449,0.2558097973037562,0.09410083056706488,0.8,0.2,0.10212589928136943,Tier 2 — Strong 4/5+,34,NA,NA,NA,NA,CHEMBL1236107,SGX-523,1,search_match_requires_review,CHEMBL3717,Hepatocyte growth factor receptor inhibitor,INHIBITOR,454,10,214,240
BRD-K01253243,SB-590885,5,3,2,0.16589710135076496,0.1848251414200652,-0.1613868122335157,0.5818608826440771,0.31468560780207444,0.6,0.4,0.09953826081045898,Tier 3 — Moderate 3/5+,35,NA,NA,NA,NA,CHEMBL1909414,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K68756823,FR-180204,5,4,2,0.12373427484623808,0.10669197908079532,-0.14505625173494974,0.2912857582739108,0.17245289613577833,0.8,0.4,0.09898741987699047,Tier 2 — Strong 4/5+,36,NA,NA,NA,NA,CHEMBL259551,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K49075727,nintedanib,5,4,1,0.12301843169954484,0.02935982938973024,-0.3724239574427016,0.1790423313020623,0.23100008712639783,0.8,0.2,0.09841474535963587,Tier 2 — Strong 4/5+,37,NA,NA,NA,NA,CHEMBL502835,NINTEDANIB,4,exact_name_match,NA,NA,NA,454,10,214,240
BRD-K01567962,pyrazolanthrone,5,4,1,0.1133638234296136,0.08122464170686527,-0.15223641701630858,0.19868372791432945,0.1297912445441214,0.8,0.2,0.09069105874369088,Tier 2 — Strong 4/5+,38,NA,NA,NA,NA,CHEMBL7064,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K49468759,KIN001-266,5,3,2,0.15063542151802806,0.08733376785820672,-0.10683428556373842,0.2529106558776021,0.15708705479777693,0.6,0.4,0.09038125291081683,Tier 3 — Moderate 3/5+,39,NA,NA,NA,NA,CHEMBL3663550,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K67578145,GDC-0879,5,4,1,0.09837041265814288,0.08208564179771549,-0.5057857178034202,0.4647275061539092,0.32666883059498386,0.8,0.2,0.07869633012651431,Tier 2 — Strong 4/5+,40,NA,NA,NA,NA,CHEMBL2139930,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
BRD-K04853698,LDN-193189,5,4,2,0.09703843040730586,0.14391035453126583,-0.06078101993556446,0.40572254958910114,0.18701259776724535,0.8,0.4,0.0776307443258447,Tier 2 — Strong 4/5+,41,NA,NA,NA,NA,CHEMBL5303350,NA,NA,search_match_requires_review,NA,NA,NA,454,10,214,240
