"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.83947021499912,0.855,0.388,0,"2","CXCR4"
0,1.83934887074485,0.345,0.154,0,"2","PTGER4"
0,1.78241462501575,0.37,0.158,0,"2","ARHGAP15"
0,1.70987063561365,0.579,0.364,0,"2","LEPROTL1"
0,1.68827229570627,0.617,0.383,0,"2","CREM"
0,1.68718724072565,0.303,0.157,0,"2","PIK3IP1"
0,6.51168445473282,0.336,0.008,0,"3","FOXP3"
0,4.60380171484352,0.263,0.026,0,"3","IL2RA"
0,4.59156956469228,0.516,0.061,0,"3","TNFRSF4"
0,4.58473187470715,0.511,0.036,0,"3","CTLA4"
0,4.47324919716729,0.312,0.027,0,"3","AC133644.2"
0,4.11520331722019,0.491,0.077,0,"3","TNFRSF18"
0,3.70622255222404,0.253,0.071,0,"3","CXCL13"
0,3.60991294885599,0.594,0.072,0,"3","TIGIT"
0,3.59520887691671,0.265,0.033,0,"3","TNFRSF9"
0,3.55953282416517,0.589,0.156,0,"3","BATF"
0,3.37819507658419,0.325,0.091,0,"3","TBC1D4"
0,3.24823729741866,0.334,0.095,0,"3","GK"
0,2.94145329352031,0.509,0.083,0,"3","ICOS"
0,2.87574765059886,0.291,0.045,0,"3","SIRPG"
0,2.80528561776984,0.261,0.04,0,"3","CD28"
0,2.73527146967985,0.667,0.186,0,"3","LTB"
0,2.68105345936441,0.54,0.118,0,"3","CD27"
0,2.63419512269553,0.497,0.197,0,"3","CARD16"
0,2.63344820024347,0.56,0.126,0,"3","SPOCK2"
0,2.46732412048798,0.579,0.156,0,"3","TRAC"
0,2.44583882972596,0.377,0.08,0,"4","GZMK"
0,2.08263320796848,0.732,0.221,0,"4","IL7R"
0,2.03294317293114,0.782,0.282,0,"4","CD69"
0,1.98948183509384,0.296,0.077,0,"4","CD8B"
0,1.93612692528326,0.498,0.267,0,"4","TUBA4A"
0,1.93121645558047,0.275,0.113,0,"4","PARP8"
0,1.91380766550826,0.302,0.088,0,"4","GZMM"
0,1.79093320511897,0.264,0.095,0,"4","STAT4"
0,1.78611425015442,0.689,0.366,0,"4","RGCC"
0,1.78489214889701,0.373,0.092,0,"4","CD8A"
0,1.78205053738743,0.268,0.099,0,"4","KLRB1"
0,1.77737278951452,0.818,0.237,0,"4","CCL5"
0,1.76832731258225,0.259,0.173,0,"4","LYAR"
0,1.75316860776019,0.351,0.161,0,"4","PTGER4"
0,1.72938742499111,0.73,0.367,0,"4","DUSP2"
0,1.69760371164836,0.366,0.129,0,"4","CD96"
0,1.69560184702011,0.771,0.424,0,"4","TNFAIP3"
0,1.68435315369353,0.714,0.472,0,"4","ANXA1"
0,1.677176974628,0.483,0.164,0,"4","CST7"
0,1.66806931574656,0.84,0.408,0,"4","CXCR4"
0,7.28274424997778,0.289,0.003,0,"5","CD209"
0,7.19158603326223,0.256,0.003,0,"5","TMIGD3"
0,7.11145551639141,0.481,0.008,0,"5","FOLR2"
0,6.61369429265134,0.926,0.037,0,"5","C1QC"
0,6.60241014007781,0.928,0.045,0,"5","C1QB"
0,6.55778588332734,0.931,0.044,0,"5","C1QA"
0,6.47689061509187,0.689,0.011,0,"5","MSR1"
0,6.36032767725848,0.666,0.013,0,"5","MS4A4A"
0,6.35522135495455,0.821,0.066,0,"5","APOC1"
0,6.29365712447843,0.595,0.013,0,"5","TREM2"
0,6.27382758670644,0.449,0.007,0,"5","SIGLEC1"
0,6.27051348481806,0.445,0.016,0,"5","F13A1"
0,6.24942868325965,0.666,0.016,0,"5","SLCO2B1"
0,6.20031995150795,0.646,0.013,0,"5","CD163"
0,6.1488405649028,0.32,0.006,0,"5","LINC01094"
0,6.05187053680852,0.527,0.01,0,"5","GPR34"
0,5.9131581185232,0.506,0.013,0,"5","MRC1"
0,5.85888008781187,0.589,0.013,0,"5","VSIG4"
0,5.69099047334918,0.335,0.008,0,"5","SDS"
0,5.55431602889225,0.72,0.021,0,"5","CSF1R"
0,6.58417426936076,0.276,0.006,0,"6","C2orf82"
0,5.222922268756,0.409,0.015,0,"6","SAA2"
0,5.17704627344048,0.256,0.005,0,"6","ROPN1B"
0,5.13540020928104,0.389,0.015,0,"6","LCN2"
0,5.10864240080511,0.429,0.015,0,"6","GABRP"
0,5.0227874353599,0.662,0.057,0,"6","KRT15"
0,4.98602676581433,0.316,0.011,0,"6","KLK5"
0,4.90998976920856,0.411,0.022,0,"6","MMP7"
0,4.83002290908937,0.417,0.018,0,"6","ELF5"
0,4.79688469769609,0.402,0.017,0,"6","KRT6B"
0,4.72925797963672,0.53,0.037,0,"6","SAA1"
0,4.59955954204719,0.258,0.008,0,"6","KIT"
0,4.59034614480537,0.394,0.02,0,"6","KRT16"
0,4.5482743064125,0.465,0.038,0,"6","CCL28"
0,4.49681106543753,0.285,0.012,0,"6","KLK6"
0,4.44363568015496,0.27,0.013,0,"6","TTYH1"
0,4.20822147008273,0.675,0.054,0,"6","SFRP1"
0,4.13182451541168,0.254,0.062,0,"6","PTN"
0,4.02255971873039,0.387,0.023,0,"6","PROM1"
0,3.91761695519028,0.41,0.067,0,"6","LTF"
0,2.46758362572758,0.258,0.144,0,"7","SCGB2A2"
0,2.20852527643098,0.323,0.172,0,"7","PFN2"
