pert_id,pert_iname,cell_lines_tested.x,median_cellline_score,mean_cellline_score,best_cellline_score,worst_cellline_score,compound_rank,cell_lines_tested.y,positive_cell_lines,negative_cell_lines,consistent_reversal,robust_rank
BRD-K30229575,BRD-K30229575,1,0.44129036783807674,0.44129036783807674,0.44129036783807674,0.44129036783807674,155,1,1,0,TRUE,154
BRD-K40224283,BRD-K40224283,1,0.4398114306480638,0.4398114306480638,0.4398114306480638,0.4398114306480638,156,1,1,0,TRUE,155
BRD-K53331454,BRD-K53331454,1,0.4391980505627392,0.4391980505627392,0.4391980505627392,0.4391980505627392,157,1,1,0,TRUE,156
BRD-K28120222,parthenolide-(alternate-stereo),1,0.43916151631950795,0.43916151631950795,0.43916151631950795,0.43916151631950795,158,1,1,0,TRUE,157
BRD-K52827117,aprepitant,1,0.43865969102373503,0.43865969102373503,0.43865969102373503,0.43865969102373503,159,1,1,0,TRUE,158
BRD-K39345836,BRD-K39345836,1,0.4386035618576475,0.4386035618576475,0.4386035618576475,0.4386035618576475,160,1,1,0,TRUE,159
BRD-K89224880,BRD-K89224880,1,0.43842363712546745,0.43842363712546745,0.43842363712546745,0.43842363712546745,161,1,1,0,TRUE,160
BRD-K46062088,ST-4062971,1,0.43811188245679805,0.43811188245679805,0.43811188245679805,0.43811188245679805,162,1,1,0,TRUE,161
BRD-K31491153,1-phenylbiguanide,1,0.4369257824411894,0.4369257824411894,0.4369257824411894,0.4369257824411894,163,1,1,0,TRUE,162
BRD-K22631935,neurodazine,1,0.4358367105276241,0.4358367105276241,0.4358367105276241,0.4358367105276241,164,1,1,0,TRUE,163
BRD-K87387614,BRD-K87387614,1,0.4343752462603887,0.4343752462603887,0.4343752462603887,0.4343752462603887,165,1,1,0,TRUE,164
BRD-A93393712,CVF-SUMO-14,1,0.4339180572254787,0.4339180572254787,0.4339180572254787,0.4339180572254787,166,1,1,0,TRUE,165
BRD-K77987382,mebendazole,1,0.4336878776345048,0.4336878776345048,0.4336878776345048,0.4336878776345048,167,1,1,0,TRUE,166
BRD-K92317137,BRD-K92317137,1,0.43356410372658905,0.43356410372658905,0.43356410372658905,0.43356410372658905,168,1,1,0,TRUE,167
BRD-K06388322,pramipexole,1,0.4331782924216734,0.4331782924216734,0.4331782924216734,0.4331782924216734,169,1,1,0,TRUE,168
BRD-K36354764,BRD-K36354764,1,0.433094819379659,0.433094819379659,0.433094819379659,0.433094819379659,170,1,1,0,TRUE,169
BRD-K99447003,enalaprilat,1,0.43068613988067195,0.43068613988067195,0.43068613988067195,0.43068613988067195,171,1,1,0,TRUE,170
BRD-K87726525,BRD-K87726525,1,0.42935075992591787,0.42935075992591787,0.42935075992591787,0.42935075992591787,172,1,1,0,TRUE,171
BRD-K40621224,pentetic-acid,1,0.42924864428474585,0.42924864428474585,0.42924864428474585,0.42924864428474585,173,1,1,0,TRUE,172
BRD-A08003242,rhodomyrtoxin-b,1,0.42924824652101023,0.42924824652101023,0.42924824652101023,0.42924824652101023,174,1,1,0,TRUE,173
BRD-A64125466,dehydrocholate,1,0.4277253694400235,0.4277253694400235,0.4277253694400235,0.4277253694400235,175,1,1,0,TRUE,174
BRD-A63583287,SA-1447005,1,0.4271093573174401,0.4271093573174401,0.4271093573174401,0.4271093573174401,176,1,1,0,TRUE,175
BRD-K68191033,BRD-K68191033,1,0.427019773181711,0.427019773181711,0.427019773181711,0.427019773181711,177,1,1,0,TRUE,176
BRD-K15600710,obatoclax,1,0.4260947784339875,0.4260947784339875,0.4260947784339875,0.4260947784339875,178,1,1,0,TRUE,177
BRD-K29198371,JAS07-003,1,0.425769896560932,0.425769896560932,0.425769896560932,0.425769896560932,179,1,1,0,TRUE,178
BRD-K88761633,BRD-K88761633,1,0.4255775820987834,0.4255775820987834,0.4255775820987834,0.4255775820987834,180,1,1,0,TRUE,179
BRD-K43283261,SA-101841,1,0.42551884953552044,0.42551884953552044,0.42551884953552044,0.42551884953552044,181,1,1,0,TRUE,180
BRD-K26818574,BIX-01294,1,0.42530234069976375,0.42530234069976375,0.42530234069976375,0.42530234069976375,182,1,1,0,TRUE,181
BRD-K43620258,CHEMBL-399379,1,0.4248876658481712,0.4248876658481712,0.4248876658481712,0.4248876658481712,183,1,1,0,TRUE,182
BRD-A11007541,BCI-hydrochloride,1,0.4241309722344236,0.4241309722344236,0.4241309722344236,0.4241309722344236,184,1,1,0,TRUE,183
